register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
rf_reg[24],secretFunction,hamming,1,multi_bitflip_reg,0,16,0.000000
rf_reg[24],secretFunction,hamming,1,multi_bitflip_reg_multi,62,5280,1.174242
rf_reg[24],secretFunction,hamming,1,single_bitflip_spatial,4,1208,0.331126
rf_reg[24],secretFunction,hamming,2,multi_bitflip_reg,0,16,0.000000
rf_reg[24],secretFunction,hamming,2,multi_bitflip_reg_multi,70,5472,1.279240
rf_reg[24],secretFunction,hamming,2,single_bitflip_spatial,4,1248,0.320513
rf_reg[24],secretFunction,hamming,3,multi_bitflip_reg,0,16,0.000000
rf_reg[24],secretFunction,hamming,3,multi_bitflip_reg_multi,66,6304,1.046954
rf_reg[24],secretFunction,hamming,3,single_bitflip_spatial,4,1520,0.263158
rf_reg[24],secretFunction,hamming,4,multi_bitflip_reg,0,16,0.000000
rf_reg[24],secretFunction,hamming,4,multi_bitflip_reg_multi,66,7264,0.908590
rf_reg[24],secretFunction,hamming,4,single_bitflip_spatial,4,1816,0.220264
rf_reg[24],secretFunction,hamming,5,multi_bitflip_reg,0,16,0.000000
rf_reg[24],secretFunction,hamming,5,multi_bitflip_reg_multi,62,7968,0.778112
rf_reg[24],secretFunction,hamming,5,single_bitflip_spatial,4,1920,0.208333
rf_reg[24],secretFunction,secded,1,multi_bitflip_reg,0,16,0.000000
rf_reg[24],secretFunction,secded,1,multi_bitflip_reg_multi,34,5440,0.625000
rf_reg[24],secretFunction,secded,1,single_bitflip_spatial,0,1248,0.000000
rf_reg[24],secretFunction,secded,2,multi_bitflip_reg,0,16,0.000000
rf_reg[24],secretFunction,secded,2,multi_bitflip_reg_multi,34,5696,0.596910
rf_reg[24],secretFunction,secded,2,single_bitflip_spatial,0,1304,0.000000
rf_reg[24],secretFunction,secded,3,multi_bitflip_reg,0,16,0.000000
rf_reg[24],secretFunction,secded,3,multi_bitflip_reg_multi,26,7072,0.367647
rf_reg[24],secretFunction,secded,3,single_bitflip_spatial,0,1712,0.000000
rf_reg[24],secretFunction,secded,4,multi_bitflip_reg,0,16,0.000000
rf_reg[24],secretFunction,secded,4,multi_bitflip_reg_multi,16,8480,0.188679
rf_reg[24],secretFunction,secded,4,single_bitflip_spatial,0,2120,0.000000
rf_reg[24],secretFunction,secded,5,multi_bitflip_reg,0,16,0.000000
rf_reg[24],secretFunction,secded,5,multi_bitflip_reg_multi,2,9216,0.021701
rf_reg[24],secretFunction,secded,5,single_bitflip_spatial,0,2232,0.000000
rf_reg[24],secretFunction,simple_parity,1,multi_bitflip_reg,0,16,0.000000
rf_reg[24],secretFunction,simple_parity,1,multi_bitflip_reg_multi,4,2624,0.152439
rf_reg[24],secretFunction,simple_parity,1,single_bitflip_spatial,2,1048,0.190840
rf_reg[24],secretFunction,wop,1,multi_bitflip_reg,0,16,0.000000
rf_reg[24],secretFunction,wop,1,multi_bitflip_reg_multi,28,2464,1.136364
rf_reg[24],secretFunction,wop,1,single_bitflip_spatial,29,1008,2.876984
