register,use_case,protection,strategy,fault_model,successes,total_simulations,success_rate_percent
rf_reg[13],secretFunction,hamming,1,multi_bitflip_reg,0,16,0.000000
rf_reg[13],secretFunction,hamming,1,multi_bitflip_reg_multi,58,5280,1.098485
rf_reg[13],secretFunction,hamming,1,single_bitflip_spatial,0,1208,0.000000
rf_reg[13],secretFunction,hamming,2,multi_bitflip_reg,0,16,0.000000
rf_reg[13],secretFunction,hamming,2,multi_bitflip_reg_multi,66,5472,1.206140
rf_reg[13],secretFunction,hamming,2,single_bitflip_spatial,0,1248,0.000000
rf_reg[13],secretFunction,hamming,3,multi_bitflip_reg,0,16,0.000000
rf_reg[13],secretFunction,hamming,3,multi_bitflip_reg_multi,62,6304,0.983503
rf_reg[13],secretFunction,hamming,3,single_bitflip_spatial,0,1520,0.000000
rf_reg[13],secretFunction,hamming,4,multi_bitflip_reg,0,16,0.000000
rf_reg[13],secretFunction,hamming,4,multi_bitflip_reg_multi,62,7264,0.853524
rf_reg[13],secretFunction,hamming,4,single_bitflip_spatial,0,1816,0.000000
rf_reg[13],secretFunction,hamming,5,multi_bitflip_reg,0,16,0.000000
rf_reg[13],secretFunction,hamming,5,multi_bitflip_reg_multi,58,7968,0.727912
rf_reg[13],secretFunction,hamming,5,single_bitflip_spatial,0,1920,0.000000
rf_reg[13],secretFunction,secded,1,multi_bitflip_reg,0,16,0.000000
rf_reg[13],secretFunction,secded,1,multi_bitflip_reg_multi,36,5440,0.661765
rf_reg[13],secretFunction,secded,1,single_bitflip_spatial,0,1248,0.000000
rf_reg[13],secretFunction,secded,2,multi_bitflip_reg,0,16,0.000000
rf_reg[13],secretFunction,secded,2,multi_bitflip_reg_multi,36,5696,0.632022
rf_reg[13],secretFunction,secded,2,single_bitflip_spatial,0,1304,0.000000
rf_reg[13],secretFunction,secded,3,multi_bitflip_reg,0,16,0.000000
rf_reg[13],secretFunction,secded,3,multi_bitflip_reg_multi,28,7072,0.395928
rf_reg[13],secretFunction,secded,3,single_bitflip_spatial,0,1712,0.000000
rf_reg[13],secretFunction,secded,4,multi_bitflip_reg,0,16,0.000000
rf_reg[13],secretFunction,secded,4,multi_bitflip_reg_multi,18,8480,0.212264
rf_reg[13],secretFunction,secded,4,single_bitflip_spatial,0,2120,0.000000
rf_reg[13],secretFunction,secded,5,multi_bitflip_reg,0,16,0.000000
rf_reg[13],secretFunction,secded,5,multi_bitflip_reg_multi,4,9216,0.043403
rf_reg[13],secretFunction,secded,5,single_bitflip_spatial,0,2232,0.000000
rf_reg[13],secretFunction,simple_parity,1,multi_bitflip_reg,0,16,0.000000
rf_reg[13],secretFunction,simple_parity,1,multi_bitflip_reg_multi,4,2624,0.152439
rf_reg[13],secretFunction,simple_parity,1,single_bitflip_spatial,2,1048,0.190840
rf_reg[13],secretFunction,wop,1,multi_bitflip_reg,0,16,0.000000
rf_reg[13],secretFunction,wop,1,multi_bitflip_reg_multi,28,2464,1.136364
rf_reg[13],secretFunction,wop,1,single_bitflip_spatial,29,1008,2.876984
